FREQ	ID	CORRECTED_ID	NAME_AS_IN_TEXT	REGULAR_EXPRESSION
000000001	@PID000001223	@PIDXXXXXXXXX	 الفقيه الفاضل أبو عبد الله Milestone300 محمد بن أبي بكر بن حزابة بضم الحاء PageV01P177 المهملة وفتح الزاي والباء الموحدة.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+Milestone300[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أبي[ ~\n]+بكر[ ~\n]+بن[ ~\n]+حزابة[ ~\n]+بضم[ ~\n]+الحاء[ ~\n]+PageV01P177[ ~\n]+المهملة[ ~\n]+وفتح[ ~\n]+الزاي[ ~\n]+والباء[ ~\n]+الموحدة.
000000001	@PID000001222	@PIDXXXXXXXXX	 الفقيه الإمام البارع أبو عبد الله محمد بن الحسن الصمعي	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الإمام[ ~\n]+البارع[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+الحسن[ ~\n]+الصمعي
000000001	@PID000001221	@PIDXXXXXXXXX	 الشيخ والفقيه الإمام العارف بالله أبو الفدا إسماعيل بن الفقيه الصالح محمد بن إسماعيل بن علي بن عبد الله بن إسماعيل ابن أحمد بن ميمون الحميري اليزني نسبة إلى @P02 ذي يزن الملك المشهور.	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+والفقيه[ ~\n]+الإمام[ ~\n]+العارف[ ~\n]+بالله[ ~\n]+أبو[ ~\n]+الفدا[ ~\n]+إسماعيل[ ~\n]+بن[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+محمد[ ~\n]+بن[ ~\n]+إسماعيل[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+إسماعيل[ ~\n]+ابن[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+ميمون[ ~\n]+الحميري[ ~\n]+اليزني[ ~\n]+نسبة[ ~\n]+إلى[ ~\n]+@P02[ ~\n]+ذي[ ~\n]+يزن[ ~\n]+الملك[ ~\n]+المشهور.
000000001	@PID000001220	@PIDXXXXXXXXX	 الفقيه الفاضل عبد الله ابن الفقيه عمر بن مسعود بن محمد بن سالم الحميري	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+عبد[ ~\n]+الله[ ~\n]+ابن[ ~\n]+الفقيه[ ~\n]+عمر[ ~\n]+بن[ ~\n]+مسعود[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+سالم[ ~\n]+الحميري
000000001	@PID000001219	@PIDXXXXXXXXX	 القاضي اسعد بن مسلم.	@P\d\d \w*[ ~\n]+القاضي[ ~\n]+اسعد[ ~\n]+بن[ ~\n]+مسلم.
000000001	@PID000001218	@PIDXXXXXXXXX	 الفقيه Milestone300 أبو عبد الله محمد بن أحمد بن أبي بكر بن موسى المعروف بالحرف.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+Milestone300[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+أبي[ ~\n]+بكر[ ~\n]+بن[ ~\n]+موسى[ ~\n]+المعروف[ ~\n]+بالحرف.
000000001	@PID000001217	@PIDXXXXXXXXX	 الفقيه الفاضل سعيد بن منصور بن محمد بن أحمد الجيشي بالجيم والياء المثناة من تحتها والشين المعجمة وهو الذي يقال له سعيد بن أنعم وكان أبوه يلقب بأنعم	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+سعيد[ ~\n]+بن[ ~\n]+منصور[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+الجيشي[ ~\n]+بالجيم[ ~\n]+والياء[ ~\n]+المثناة[ ~\n]+من[ ~\n]+تحتها[ ~\n]+والشين[ ~\n]+المعجمة[ ~\n]+وهو[ ~\n]+الذي[ ~\n]+يقال[ ~\n]+له[ ~\n]+سعيد[ ~\n]+بن[ ~\n]+أنعم[ ~\n]+وكان[ ~\n]+أبوه[ ~\n]+يلقب[ ~\n]+بأنعم
000000001	@PID000001216	@PIDXXXXXXXXX	 الفقيه الفاضل أبو عبد الله محمد بن علي بن إسماعيل الحضرمي.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+إسماعيل[ ~\n]+الحضرمي.
000000001	@PID000001215	@PIDXXXXXXXXX	 القاضي الأجل الصالح عيسى بن الفقيه علي بن الفقيه محمد ابن أبي بكر بن مفلت بضم الميم وفتح الفاء واللام المشددة وآخره تاء مثناة من فوقها.	@P\d\d \w*[ ~\n]+القاضي[ ~\n]+الأجل[ ~\n]+الصالح[ ~\n]+عيسى[ ~\n]+بن[ ~\n]+الفقيه[ ~\n]+علي[ ~\n]+بن[ ~\n]+الفقيه[ ~\n]+محمد[ ~\n]+ابن[ ~\n]+أبي[ ~\n]+بكر[ ~\n]+بن[ ~\n]+مفلت[ ~\n]+بضم[ ~\n]+الميم[ ~\n]+وفتح[ ~\n]+الفاء[ ~\n]+واللام[ ~\n]+المشددة[ ~\n]+وآخره[ ~\n]+تاء[ ~\n]+مثناة[ ~\n]+من[ ~\n]+فوقها.
000000001	@PID000001214	@PIDXXXXXXXXX	 الفقيه أبو الحسن أحمد بن يحيى بن الفقيه محمد بن مضمون	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+أبو[ ~\n]+الحسن[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+يحيى[ ~\n]+بن[ ~\n]+الفقيه[ ~\n]+محمد[ ~\n]+بن[ ~\n]+مضمون
